0,1,2,3,4,5,6,7,8,9
1.4851485148514852e-09,2.999983498349835e-05,2.6666501650165017e-05,2.3333168316831686e-05,1.999983498349835e-05,1.6666501650165018e-05,1.3333168316831683e-05,9.99983498349835e-06,6.666501650165017e-06,3.3331683168316834e-06
7.574257425742575e-08,2.999158415841584e-05,2.665825082508251e-05,2.3324917491749176e-05,1.9991584158415842e-05,1.6658250825082508e-05,1.3324917491749175e-05,9.991584158415841e-06,6.658250825082509e-06,3.324917491749175e-06
1.5000000000000002e-07,2.9983333333333335e-05,2.665e-05,2.331666666666667e-05,1.9983333333333332e-05,1.665e-05,1.3316666666666667e-05,9.983333333333333e-06,6.650000000000001e-06,3.316666666666667e-06
2.2425742574257425e-07,2.9975082508250825e-05,2.6641749174917494e-05,2.330841584158416e-05,1.9975082508250826e-05,1.6641749174917492e-05,1.330841584158416e-05,9.975082508250825e-06,6.641749174917492e-06,3.3084158415841585e-06
2.985148514851485e-07,2.996683168316832e-05,2.6633498349834985e-05,2.3300165016501654e-05,1.9966831683168316e-05,1.6633498349834982e-05,1.3300165016501651e-05,9.966831683168317e-06,6.633498349834984e-06,3.3001650165016505e-06
3.727722772277228e-07,2.995858085808581e-05,2.662524752475248e-05,2.3291914191419144e-05,1.9958580858085807e-05,1.6625247524752476e-05,1.3291914191419143e-05,9.958580858085809e-06,6.625247524752476e-06,3.2919141914191417e-06
4.47029702970297e-07,2.9950330033003303e-05,2.661699669966997e-05,2.328366336633663e-05,1.99503300330033e-05,1.6616996699669966e-05,1.3283663366336635e-05,9.9503300330033e-06,6.616996699669968e-06,3.2836633663366336e-06
5.212871287128714e-07,2.9942079207920793e-05,2.660874587458746e-05,2.3275412541254125e-05,1.994207920792079e-05,1.660874587458746e-05,1.3275412541254126e-05,9.942079207920791e-06,6.608745874587459e-06,3.2754125412541256e-06
5.955445544554456e-07,2.9933828382838283e-05,2.6600495049504953e-05,2.3267161716171615e-05,1.9933828382838284e-05,1.660049504950495e-05,1.3267161716171618e-05,9.933828382838283e-06,6.60049504950495e-06,3.267161716171617e-06
6.698019801980198e-07,2.9925577557755777e-05,2.6592244224422443e-05,2.325891089108911e-05,1.9925577557755775e-05,1.6592244224422444e-05,1.325891089108911e-05,9.925577557755775e-06,6.592244224422442e-06,3.258910891089109e-06
7.440594059405941e-07,2.9917326732673267e-05,2.6583993399339937e-05,2.32506600660066e-05,1.9917326732673268e-05,1.6583993399339934e-05,1.3250660066006602e-05,9.917326732673267e-06,6.583993399339934e-06,3.2506600660066008e-06
8.183168316831683e-07,2.990907590759076e-05,2.6575742574257427e-05,2.3242409240924093e-05,1.990907590759076e-05,1.6575742574257428e-05,1.3242409240924092e-05,9.90907590759076e-06,6.575742574257426e-06,3.2424092409240928e-06
8.925742574257425e-07,2.990082508250825e-05,2.656749174917492e-05,2.3234158415841583e-05,1.9900825082508252e-05,1.6567491749174918e-05,1.3234158415841584e-05,9.900825082508251e-06,6.567491749174917e-06,3.234158415841584e-06
9.66831683168317e-07,2.9892574257425745e-05,2.655924092409241e-05,2.3225907590759077e-05,1.9892574257425743e-05,1.655924092409241e-05,1.3225907590759076e-05,9.892574257425743e-06,6.559240924092409e-06,3.225907590759076e-06
1.0410891089108911e-06,2.9884323432343235e-05,2.6550990099009905e-05,2.3217656765676567e-05,1.9884323432343233e-05,1.6550990099009902e-05,1.3217656765676568e-05,9.884323432343235e-06,6.550990099009901e-06,3.217656765676568e-06
1.1153465346534653e-06,2.987607260726073e-05,2.6542739273927395e-05,2.3209405940594057e-05,1.9876072607260726e-05,1.6542739273927392e-05,1.320940594059406e-05,9.876072607260727e-06,6.542739273927393e-06,3.2094059405940594e-06
1.1896039603960395e-06,2.986782178217822e-05,2.6534488448844885e-05,2.320115511551155e-05,1.9867821782178217e-05,1.6534488448844886e-05,1.3201155115511552e-05,9.867821782178218e-06,6.534488448844885e-06,3.2011551155115514e-06
1.263861386138614e-06,2.985957095709571e-05,2.652623762376238e-05,2.319290429042904e-05,1.985957095709571e-05,1.6526237623762376e-05,1.3192904290429042e-05,9.85957095709571e-06,6.526237623762376e-06,3.192904290429043e-06
1.3381188118811882e-06,2.9851320132013203e-05,2.651798679867987e-05,2.3184653465346535e-05,1.98513201320132e-05,1.651798679867987e-05,1.3184653465346534e-05,9.851320132013202e-06,6.517986798679868e-06,3.184653465346535e-06
1.4123762376237624e-06,2.9843069306930694e-05,2.650973597359736e-05,2.3176402640264025e-05,1.9843069306930694e-05,1.650973597359736e-05,1.3176402640264026e-05,9.843069306930694e-06,6.50973597359736e-06,3.176402640264026e-06
