0,1,2,3,4,5,6,7,8,9
1.9801980198019805e-09,3.9999779977997806e-05,3.5555335533553356e-05,3.111089108910891e-05,2.666644664466447e-05,2.2222002200220026e-05,1.777755775577558e-05,1.3333113311331134e-05,8.888668866886689e-06,4.444224422442245e-06
1.00990099009901e-07,3.998877887788779e-05,3.5544334433443345e-05,3.10998899889989e-05,2.6655445544554458e-05,2.221100110011001e-05,1.7766556655665568e-05,1.3322112211221123e-05,8.877667766776678e-06,4.433223322332233e-06
2.0000000000000002e-07,3.9977777777777784e-05,3.5533333333333334e-05,3.108888888888889e-05,2.6644444444444448e-05,2.2200000000000004e-05,1.7755555555555558e-05,1.3311111111111113e-05,8.866666666666668e-06,4.422222222222223e-06
2.99009900990099e-07,3.996677667766777e-05,3.5522332233223324e-05,3.107788778877888e-05,2.6633443344334437e-05,2.218899889988999e-05,1.7744554455445547e-05,1.3300110011001102e-05,8.855665566556655e-06,4.411221122112211e-06
3.9801980198019805e-07,3.995577557755776e-05,3.551133113311331e-05,3.106688668866887e-05,2.6622442244224426e-05,2.2177997799779976e-05,1.7733553355335536e-05,1.3289108910891091e-05,8.844664466446645e-06,4.4002200220022e-06
4.970297029702971e-07,3.9944774477447745e-05,3.55003300330033e-05,3.105588558855886e-05,2.6611441144114412e-05,2.216699669966997e-05,1.7722552255225526e-05,1.327810781078108e-05,8.833663366336634e-06,4.38921892189219e-06
5.960396039603961e-07,3.993377337733774e-05,3.548932893289329e-05,3.104488448844885e-05,2.66004400440044e-05,2.2155995599559955e-05,1.7711551155115515e-05,1.3267106710671066e-05,8.822662266226623e-06,4.378217821782178e-06
6.950495049504952e-07,3.9922772277227724e-05,3.547832783278328e-05,3.103388338833884e-05,2.658943894389439e-05,2.2144994499449948e-05,1.77005500550055e-05,1.3256105610561056e-05,8.811661166116613e-06,4.3672167216721675e-06
7.940594059405942e-07,3.9911771177117713e-05,3.546732673267327e-05,3.102288228822883e-05,2.657843784378438e-05,2.2133993399339933e-05,1.768954895489549e-05,1.3245104510451045e-05,8.800660066006602e-06,4.356215621562157e-06
8.930693069306931e-07,3.99007700770077e-05,3.545632563256326e-05,3.1011881188118816e-05,2.656743674367437e-05,2.2122992299229926e-05,1.767854785478548e-05,1.3234103410341034e-05,8.78965896589659e-06,4.345214521452145e-06
9.920792079207922e-07,3.988976897689769e-05,3.544532453245325e-05,3.1000880088008805e-05,2.655643564356436e-05,2.2111991199119912e-05,1.766754675467547e-05,1.3223102310231024e-05,8.778657865786579e-06,4.334213421342135e-06
1.091089108910891e-06,3.987876787678768e-05,3.543432343234324e-05,3.0989878987898795e-05,2.6545434543454348e-05,2.2100990099009905e-05,1.7656545654565458e-05,1.3212101210121013e-05,8.767656765676568e-06,4.323212321232124e-06
1.1900990099009902e-06,3.986776677667767e-05,3.542332233223323e-05,3.0978877887788784e-05,2.6534433443344337e-05,2.208998899889989e-05,1.7645544554455447e-05,1.3201100110011002e-05,8.756655665566557e-06,4.3122112211221124e-06
