accuracy,precision,recall,f1_score,auc_roc,loss
0.992970992970993,0.9930083942559235,0.992970992970993,0.9929716924631192,0.999894146638685,0.019248726169065734
0.9948519948519948,0.9948530120992476,0.9948519948519948,0.9948518789121109,0.9998590321989603,0.02009348505789884
0.9970299970299971,0.9970326103941396,0.9970299970299971,0.9970298952967344,0.9999450331507774,0.011221214123091454
0.9965349965349966,0.9965431914540277,0.9965349965349966,0.9965347823945336,0.9999535861651462,0.00985298545607714
0.9954459954459954,0.9954518460481555,0.9954459954459954,0.9954457566267624,0.9999072507983141,0.013306700291931282
0.9975249975249976,0.9975272107035229,0.9975249975249976,0.9975249200795844,0.9999666903247751,0.009384577237036748
0.9973269973269974,0.9973271290513752,0.9973269973269974,0.9973269751460729,0.9999284371641814,0.009433878704181484
0.9976239976239977,0.9976241017252848,0.9976239976239977,0.9976240105348412,0.9998700961900244,0.012379803330310623
0.997920997920998,0.9979210060778465,0.997920997920998,0.9979209922112354,0.9997793871569035,0.01259421556763107
0.9976239976239977,0.9976240497118788,0.9976239976239977,0.9976239845264293,0.9997565529625798,0.014553342752681764
