accuracy,precision,recall,f1_score,auc_roc,loss
0.9955449955449955,0.9955452436655444,0.9955449955449955,0.995545031725457,0.9998713516783722,0.012863221842625228
0.9974259974259975,0.9974271338503508,0.9974259974259975,0.9974259394560553,0.9999201587878888,0.007697364066240886
0.9970299970299971,0.9970303740424329,0.9970299970299971,0.9970300290737109,0.9999646109221993,0.010062069213949207
0.996930996930997,0.9969311220132218,0.996930996930997,0.9969309714640097,0.9999601578619661,0.011929296076904137
0.9978219978219979,0.9978233430911706,0.9978219978219979,0.9978220441348535,0.9999474656594511,0.008624046386005932
0.9975249975249976,0.997525859245516,0.9975249975249976,0.9975249489224229,0.9999575880342544,0.012622459272779794
0.9974259974259975,0.9974263660179141,0.9974259974259975,0.9974260251972162,0.9999786763150946,0.014246029890646543
0.9977229977229978,0.9977234236266508,0.9977229977229978,0.997722966007866,0.9997295599631043,0.0177132924907508
0.9977229977229978,0.9977230297126807,0.9977229977229978,0.9977230039318111,0.9996149574173664,0.018040267345514584
0.9978219978219979,0.9978219978219979,0.9978219978219979,0.9978219978219979,0.9995862381214127,0.01921845947423933
