accuracy,precision,recall,f1_score,auc_roc,loss
0.995049995049995,0.9950553998671591,0.995049995049995,0.995050199340011,0.9998897524294681,0.014081011944259546
0.9974259974259975,0.9974259974259975,0.9974259974259975,0.9974259974259975,0.9996211956250939,0.008739204654294126
0.9956439956439956,0.995657757524278,0.9956439956439956,0.9956442766567127,0.9998911648538592,0.018461123261336334
0.9973269973269974,0.9973274120047708,0.9973269973269974,0.9973269600961907,0.9994528424844702,0.015289005101722349
0.9966339966339967,0.9966350963884729,0.9966339966339967,0.9966339208271495,0.9999149406644438,0.021080802666279822
0.9970299970299971,0.9970303740424329,0.9970299970299971,0.9970300290737109,0.9999593927987542,0.01176924407496895
0.9974259974259975,0.9974278083541499,0.9974259974259975,0.9974259244577807,0.9986677699270521,0.013978300526235497
0.9976239976239977,0.9976266533624825,0.9976239976239977,0.9976239162373874,0.9999180793853129,0.014353239398477727
0.9975249975249976,0.997525859245516,0.9975249975249976,0.9975249489224229,0.9994067032876923,0.01776825681844315
0.9977229977229978,0.9977238674105765,0.9977229977229978,0.997722953008629,0.9998962456582663,0.017351178850421586
