accuracy,precision,recall,f1_score,auc_roc,loss
0.4861894861894862,0.2363802164811966,0.4861894861894862,0.31810239364196197,0.943500552611043,0.6949043571241111
0.5138105138105138,0.2640012441022242,0.5138105138105138,0.3487903429045277,0.57463201440359,0.6927827147151965
0.5138105138105138,0.2640012441022242,0.5138105138105138,0.3487903429045277,0.5,0.6927882939317541
0.4861894861894862,0.2363802164811966,0.4861894861894862,0.31810239364196197,0.5,0.69321877040376
0.5138105138105138,0.2640012441022242,0.5138105138105138,0.3487903429045277,0.5,0.6927578894278404
0.5138105138105138,0.2640012441022242,0.5138105138105138,0.3487903429045277,0.4998981877418041,0.6928386169346381
0.5138105138105138,0.2640012441022242,0.5138105138105138,0.3487903429045277,0.5,0.6928722340014843
0.5138105138105138,0.2640012441022242,0.5138105138105138,0.3487903429045277,0.4998927145972884,0.6927578631413899
0.5138105138105138,0.2640012441022242,0.5138105138105138,0.3487903429045277,0.5,0.692779692056532
0.5138105138105138,0.2640012441022242,0.5138105138105138,0.3487903429045277,0.5,0.692795580965323
