Zero-exposure_generalization,Precision (NER),Recall (NER),F1 (NER)
B-CLIN_COND,0.453721,0.109075,0.175871
I-CLIN_COND,0.701754,0.024804,0.047914
B-MED_REP,0.460784,0.020077,0.038477
I-MED_REP,0.333333,0.010740,0.020809
OVERALL,0.487398,0.041174,0.070768
