accuracy,precision,recall,f1_score,auc_roc,loss
0.9947529947529947,0.9947644121822092,0.9947529947529947,0.9947526035610548,0.9998879084309574,0.016084055231630482
0.9947529947529947,0.9947609539649973,0.9947529947529947,0.9947526704831509,0.9998722148266111,0.01504171212188108
0.9967329967329968,0.9967332257673496,0.9967329967329968,0.9967330232653352,0.999947779531538,0.010579287301542948
0.9961389961389961,0.9961390367359083,0.9961389961389961,0.9961390066669841,0.9989998465950175,0.015135268719585235
0.9971289971289972,0.9971290323463912,0.9971289971289972,0.9971290049575009,0.9998269387780724,0.010351325486898275
0.9952479952479952,0.9952770308710681,0.9952479952479952,0.9952484220201319,0.9994367761570208,0.02266437815626297
0.9968319968319969,0.9968323780546922,0.9968319968319969,0.9968320310119583,0.9997677935066928,0.013912817178406018
0.9966339966339967,0.9966348085755246,0.9966339966339967,0.9966340507115522,0.9997688135909752,0.015828189659668108
0.9970299970299971,0.9970317847281731,0.9970299970299971,0.9970299128359009,0.9997935702518314,0.021832640115968225
0.9966339966339967,0.9966361291295247,0.9966339966339967,0.996634085440792,0.9997667930394156,0.024508743397767607
