0,1,2,3,4,5,6,7,8,9
2.97000297000297e-09,1.999966999967e-05,1.777744777744778e-05,1.555522555522556e-05,1.3333003333003333e-05,1.1110781110781113e-05,8.88855888855889e-06,6.666336666336667e-06,4.444114444114445e-06,2.221892221892222e-06
1.5147015147015147e-07,1.9983169983169984e-05,1.7760947760947762e-05,1.553872553872554e-05,1.3316503316503317e-05,1.1094281094281094e-05,8.872058872058872e-06,6.6498366498366506e-06,4.427614427614428e-06,2.2053922053922056e-06
2.999702999703e-07,1.996666996666997e-05,1.7744447744447744e-05,1.5522225522225523e-05,1.3300003300003301e-05,1.1077781077781078e-05,8.855558855558856e-06,6.633336633336634e-06,4.411114411114412e-06,2.188892188892189e-06
4.484704484704485e-07,1.9950169950169952e-05,1.772794772794773e-05,1.5505725505725505e-05,1.3283503283503285e-05,1.1061281061281062e-05,8.83905883905884e-06,6.6168366168366176e-06,4.394614394614395e-06,2.1723921723921726e-06
5.969705969705971e-07,1.9933669933669934e-05,1.7711447711447712e-05,1.548922548922549e-05,1.3267003267003269e-05,1.1044781044781046e-05,8.822558822558824e-06,6.600336600336601e-06,4.378114378114379e-06,2.155892155892156e-06
7.454707454707455e-07,1.991716991716992e-05,1.7694947694947698e-05,1.5472725472725473e-05,1.3250503250503251e-05,1.102828102828103e-05,8.806058806058806e-06,6.583836583836585e-06,4.361614361614362e-06,2.1393921393921396e-06
8.939708939708941e-07,1.9900669900669902e-05,1.767844767844768e-05,1.545622545622546e-05,1.3234003234003233e-05,1.1011781011781014e-05,8.78955878955879e-06,6.567336567336568e-06,4.345114345114346e-06,2.122892122892123e-06
1.0424710424710426e-06,1.9884169884169887e-05,1.7661947661947662e-05,1.543972543972544e-05,1.3217503217503217e-05,1.0995280995280997e-05,8.773058773058774e-06,6.550836550836552e-06,4.328614328614329e-06,2.1063921063921066e-06
1.190971190971191e-06,1.986766986766987e-05,1.7645447645447648e-05,1.5423225423225426e-05,1.3201003201003201e-05,1.0978780978780981e-05,8.756558756558758e-06,6.534336534336535e-06,4.312114312114312e-06,2.08989208989209e-06
1.3394713394713397e-06,1.9851169851169855e-05,1.762894762894763e-05,1.540672540672541e-05,1.3184503184503185e-05,1.0962280962280962e-05,8.74005874005874e-06,6.517836517836519e-06,4.295614295614296e-06,2.0733920733920736e-06
1.4879714879714881e-06,1.9834669834669834e-05,1.7612447612447612e-05,1.539022539022539e-05,1.316800316800317e-05,1.0945780945780946e-05,8.723558723558724e-06,6.501336501336502e-06,4.279114279114279e-06,2.056892056892057e-06
1.6364716364716366e-06,1.981816981816982e-05,1.7595947595947598e-05,1.5373725373725373e-05,1.3151503151503153e-05,1.092928092928093e-05,8.707058707058708e-06,6.484836484836486e-06,4.262614262614263e-06,2.0403920403920406e-06
1.7849717849717852e-06,1.9801669801669802e-05,1.757944757944758e-05,1.535722535722536e-05,1.3135003135003137e-05,1.0912780912780914e-05,8.690558690558692e-06,6.468336468336469e-06,4.246114246114246e-06,2.023892023892024e-06
1.9334719334719337e-06,1.9785169785169788e-05,1.7562947562947566e-05,1.534072534072534e-05,1.311850311850312e-05,1.0896280896280898e-05,8.674058674058676e-06,6.451836451836453e-06,4.22961422961423e-06,2.0073920073920076e-06
2.081972081972082e-06,1.976866976866977e-05,1.7546447546447548e-05,1.5324225324225327e-05,1.3102003102003103e-05,1.0879780879780882e-05,8.657558657558658e-06,6.435336435336436e-06,4.213114213114213e-06,1.990891990891991e-06
2.2304722304722305e-06,1.9752169752169755e-05,1.752994752994753e-05,1.530772530772531e-05,1.3085503085503085e-05,1.0863280863280866e-05,8.641058641058642e-06,6.41883641883642e-06,4.196614196614197e-06,1.9743919743919747e-06
