0,1,2,3,4,5,6,7,8,9
5.94000594000594e-09,3.999933999934e-05,3.555489555489556e-05,3.111045111045112e-05,2.6666006666006667e-05,2.2221562221562227e-05,1.777711777711778e-05,1.3332673332673333e-05,8.88822888822889e-06,4.443784443784444e-06
3.0294030294030294e-07,3.996633996633997e-05,3.5521895521895524e-05,3.107745107745108e-05,2.6633006633006634e-05,2.2188562188562188e-05,1.7744117744117744e-05,1.3299673299673301e-05,8.855228855228856e-06,4.410784410784411e-06
5.999405999406e-07,3.993333993333994e-05,3.548889548889549e-05,3.1044451044451046e-05,2.6600006600006602e-05,2.2155562155562156e-05,1.7711117711117712e-05,1.3266673266673267e-05,8.822228822228824e-06,4.377784377784378e-06
8.96940896940897e-07,3.9900339900339903e-05,3.545589545589546e-05,3.101145101145101e-05,2.656700656700657e-05,2.2122562122562123e-05,1.767811767811768e-05,1.3233673233673235e-05,8.78922878922879e-06,4.344784344784345e-06
1.1939411939411942e-06,3.986733986733987e-05,3.5422895422895425e-05,3.097845097845098e-05,2.6534006534006538e-05,2.208956208956209e-05,1.7645117645117648e-05,1.3200673200673201e-05,8.756228756228758e-06,4.311784311784312e-06
1.490941490941491e-06,3.983433983433984e-05,3.5389895389895396e-05,3.0945450945450946e-05,2.6501006501006502e-05,2.205656205656206e-05,1.7612117612117612e-05,1.316767316767317e-05,8.723228723228724e-06,4.278784278784279e-06
1.7879417879417881e-06,3.9801339801339804e-05,3.535689535689536e-05,3.091245091245092e-05,2.6468006468006467e-05,2.2023562023562027e-05,1.757911757911758e-05,1.3134673134673135e-05,8.690228690228692e-06,4.245784245784246e-06
2.084942084942085e-06,3.9768339768339775e-05,3.5323895323895325e-05,3.087945087945088e-05,2.6435006435006435e-05,2.1990561990561995e-05,1.7546117546117548e-05,1.3101673101673103e-05,8.657228657228658e-06,4.212784212784213e-06
2.381942381942382e-06,3.973533973533974e-05,3.5290895290895296e-05,3.084645084645085e-05,2.6402006402006403e-05,2.1957561957561963e-05,1.7513117513117516e-05,1.306867306867307e-05,8.624228624228624e-06,4.17978417978418e-06
2.6789426789426794e-06,3.970233970233971e-05,3.525789525789526e-05,3.081345081345082e-05,2.636900636900637e-05,2.1924561924561924e-05,1.748011748011748e-05,1.3035673035673037e-05,8.591228591228592e-06,4.146784146784147e-06
