0,1,2,3,4,5,6,7,8,9
4.455004455004455e-09,2.9999504999505e-05,2.6666171666171667e-05,2.3332838332838336e-05,1.9999504999504998e-05,1.6666171666171667e-05,1.3332838332838333e-05,9.999504999504999e-06,6.666171666171667e-06,3.332838332838333e-06
2.272052272052272e-07,2.9974754974754976e-05,2.664142164142164e-05,2.330808830808831e-05,1.9974754974754977e-05,1.664142164142164e-05,1.3308088308088308e-05,9.974754974754976e-06,6.641421641421642e-06,3.3080883080883083e-06
4.4995544995545e-07,2.995000495000495e-05,2.6616671616671617e-05,2.3283338283338282e-05,1.9950004950004952e-05,1.6616671616671618e-05,1.3283338283338285e-05,9.95000495000495e-06,6.616671616671617e-06,3.2833382833382834e-06
6.727056727056727e-07,2.9925254925254926e-05,2.6591921591921592e-05,2.3258588258588258e-05,1.9925254925254927e-05,1.6591921591921593e-05,1.3258588258588258e-05,9.925254925254926e-06,6.591921591921592e-06,3.258588258588259e-06
8.954558954558955e-07,2.99005049005049e-05,2.656717156717157e-05,2.3233838233838233e-05,1.9900504900504902e-05,1.6567171567171568e-05,1.3233838233838233e-05,9.900504900504901e-06,6.567171567171568e-06,3.233838233838234e-06
1.1182061182061182e-06,2.9875754875754876e-05,2.6542421542421545e-05,2.320908820908821e-05,1.9875754875754873e-05,1.6542421542421543e-05,1.320908820908821e-05,9.875754875754876e-06,6.542421542421543e-06,3.2090882090882094e-06
1.340956340956341e-06,2.985100485100485e-05,2.6517671517671517e-05,2.3184338184338186e-05,1.9851004851004852e-05,1.6517671517671518e-05,1.3184338184338185e-05,9.851004851004851e-06,6.517671517671519e-06,3.1843381843381844e-06
1.5637065637065637e-06,2.9826254826254826e-05,2.6492921492921492e-05,2.315958815958816e-05,1.9826254826254827e-05,1.6492921492921493e-05,1.315958815958816e-05,9.826254826254826e-06,6.492921492921493e-06,3.15958815958816e-06
1.7864567864567864e-06,2.9801504801504805e-05,2.6468171468171467e-05,2.3134838134838136e-05,1.9801504801504802e-05,1.646817146817147e-05,1.3134838134838135e-05,9.801504801504801e-06,6.468171468171468e-06,3.134838134838135e-06
2.0092070092070094e-06,2.977675477675478e-05,2.6443421443421445e-05,2.311008811008811e-05,1.9776754776754777e-05,1.6443421443421443e-05,1.311008811008811e-05,9.776754776754778e-06,6.443421443421444e-06,3.11008811008811e-06
2.2319572319572323e-06,2.975200475200475e-05,2.641867141867142e-05,2.3085338085338086e-05,1.9752004752004752e-05,1.6418671418671418e-05,1.3085338085338085e-05,9.752004752004751e-06,6.418671418671419e-06,3.085338085338085e-06
2.4547074547074547e-06,2.9727254727254726e-05,2.6393921393921395e-05,2.306058806058806e-05,1.9727254727254727e-05,1.6393921393921393e-05,1.306058806058806e-05,9.727254727254728e-06,6.393921393921394e-06,3.0605880605880605e-06
2.6774576774576776e-06,2.97025047025047e-05,2.636917136917137e-05,2.3035838035838036e-05,1.9702504702504706e-05,1.6369171369171368e-05,1.3035838035838036e-05,9.702504702504703e-06,6.369171369171369e-06,3.035838035838036e-06
2.9002079002079005e-06,2.967775467775468e-05,2.6344421344421346e-05,2.301108801108801e-05,1.9677754677754677e-05,1.6344421344421346e-05,1.3011088011088012e-05,9.677754677754678e-06,6.344421344421345e-06,3.011088011088011e-06
3.122958122958123e-06,2.9653004653004655e-05,2.631967131967132e-05,2.2986337986337986e-05,1.9653004653004652e-05,1.631967131967132e-05,1.2986337986337986e-05,9.653004653004653e-06,6.31967131967132e-06,2.9863379863379865e-06
3.345708345708346e-06,2.962825462825463e-05,2.6294921294921296e-05,2.296158796158796e-05,1.9628254628254627e-05,1.6294921294921297e-05,1.2961587961587962e-05,9.628254628254628e-06,6.294921294921295e-06,2.9615879615879616e-06
3.5684585684585687e-06,2.9603504603504605e-05,2.627017127017127e-05,2.293683793683794e-05,1.9603504603504602e-05,1.6270171270171268e-05,1.2936837936837937e-05,9.603504603504605e-06,6.27017127017127e-06,2.936837936837937e-06
3.791208791208791e-06,2.957875457875458e-05,2.6245421245421246e-05,2.291208791208791e-05,1.957875457875458e-05,1.6245421245421243e-05,1.2912087912087912e-05,9.578754578754578e-06,6.245421245421246e-06,2.912087912087912e-06
